  ,,,,,,,,,,,,,,,,
CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
19-01-0148-46,19-019,ZACAPA,ZACAPA,INSTITUTO TECNICO DE EDUCACION INDUSTRIAL,"BARRIO LA REFORMA, LOMA DEL CHAPARRO ZONA 2",41830223,HUGO WILFREDO VARGAS CHACON,CARMEN ELIZABETH GARCIA RAMIREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0149-46,19-019,ZACAPA,ZACAPA,COLEGIO BILING�E MONTESSORI,4TA. CALLE 3-41 ZONA 2,79410965,HUGO WILFREDO VARGAS CHACON,MAGDA YOHANA S�NCHEZ MONTERROSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0160-46,19-019,ZACAPA,ZACAPA,"COLEGIO PARTICULAR MIXTO ""LICEO CRISTIANO ZACAPANECO""",12 AVENIDA Y 8A. CALLE ESQUINA ZONA 1,79410316,HUGO WILFREDO VARGAS CHACON,LUCY RAQUEL APARICIO ROLD�N,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0162-46,19-019,ZACAPA,ZACAPA,COLEGIO PRIVADO MIXTO EVANGELICO ELIM,"RESIDENCIALES SHALOM, CALZADA RAMIRO DE LEON CARPIO",55146704,HUGO WILFREDO VARGAS CHACON,LOURDES JULISSA SALGUERO ZABALETA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0166-46, ,ZACAPA,ZACAPA,"INSTITUTO DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ ""SUPERACION INTEGRAL""",ALDEA LOS JOCOTES,24106060,,FLOR DE MARIA LOPEZ BARRIOS,DIVERSIFICADO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0170-46,19-019,ZACAPA,ZACAPA,COLEGIO CRISTIANO VERBO ZACAPA,CALZADA RAMIRO DE LE�N CARPIO A UN COSTADO DEL IGSS,58289369,HUGO WILFREDO VARGAS CHACON,ROC�O ALEJANDRA DELGADO Z��IGA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0175-46,19-019,ZACAPA,ZACAPA,INSTITUTO T�CNICO DE  EDUCACI�N INDUSTRIAL,"CIUDAD VICTORIA, BARRIO NUEVO",79415915,HUGO WILFREDO VARGAS CHACON,CARMEN ELIZABETH GARC�A RAM�REZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0177-46,19-019,ZACAPA,ZACAPA,INSTITUTO TECNICO DE EDUCACI�N INDUSTRIAL,"CIUDAD VICTORIA, BARRIO NUEVO",79415915,HUGO WILFREDO VARGAS CHACON,CARMEN ELIZABETH GARC�A RAM�REZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA
19-01-0178-46,19-019,ZACAPA,ZACAPA,LICEO CRISTO REY,8A. CALLE 9-6 BARRIO LA REFORMA ZONA 2,54138046,HUGO WILFREDO VARGAS CHACON,CLAUDIA AZUCENA DE LOS REYES D�AZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0179-46,19-019,ZACAPA,ZACAPA,LICEO CRISTO REY,8A. CALLE 9-6 BARRIO LA REFORMA ZONA 2,79410104,HUGO WILFREDO VARGAS CHACON,CLAUDIA AZUCENA DE LOS REYES D�AZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0183-46,19-019,ZACAPA,ZACAPA,LICEO CRISTO REY,8A. CALLE 9-06 ZONA 2 BARRIO LA REFORMA,54138046,HUGO WILFREDO VARGAS CHACON,EDNA EDITH RAM�REZ CORD�N,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA
19-01-0192-46,19-019,ZACAPA,ZACAPA,"COLEGIO ""HIGA""",BOSQUES DE  SAN  JULI�N ZACAPA,42876685,HUGO WILFREDO VARGAS CHACON,MARCY MAGALETH CARRERA PAIZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0193-46,19-019,ZACAPA,ZACAPA,"COLEGIO ""HIGA""",BOSQUES DE  SAN  JULI�N ZACAPA,42876685,HUGO WILFREDO VARGAS CHACON,MARCY MAGALETH CARRERA PAIZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ZACAPA
19-01-0194-46,19-019,ZACAPA,ZACAPA,"COLEGIO ""HIGA""",BOSQUES DE SAN JULI�N ZACAPA,49057528,HUGO WILFREDO VARGAS CHACON,EDILIO  PAZ ARCHILA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA
19-01-0202-46,19-019,ZACAPA,ZACAPA,INSTITUTO T�CNICO PRIVADO VOCACIONAL,9A. CALLE 17-27 ZONA 3 BARRIO EL TAMARINDAL ZACAPA,79416343,HUGO WILFREDO VARGAS CHACON,EDWIN ORLANDO LUCAS VANEGAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0204-46,19-019,ZACAPA,ZACAPA,COLEGIO PRIVADO BILING�E SAGRADO CORAZ�N DE JES�S,8A. CALLE ENTRE 9A. Y 10A. AVENIDA  DE LA ZONA 2 BARRIO LA LAGUNA ZACAPA,31181139,HUGO WILFREDO VARGAS CHACON,MARTA LYL� RIVAS TOBAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0205-46,19-018,ZACAPA,ZACAPA,PROGRAMA NACIONAL DE EDUCACI�N ALTERNATIVA -PRONEA-,3RA. CALLE ENTRE 14 Y 15 AV. ZONA 1 ZACAPA,79416215,MAYRA MARIVEL LOPEZ HERNANDEZ,BERTA  ANDREA L�PEZ SAQUEC,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ZACAPA
19-01-0206-46,19-018,ZACAPA,ZACAPA,CENTRO DE EDUCACI�N EXTRAESCOLAR -CEEX-DEPARTAMENTAL,3RA. CALE ENTRE 14 Y 15 AVENIDA ZONA 1 ZACAPA,79416215,MAYRA MARIVEL LOPEZ HERNANDEZ,CARLOS  JOSU� ROSALES DE PAZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ZACAPA
19-01-0209-46,19-019,ZACAPA,ZACAPA,"CENTRO DE EDUCACI�N A DISTANCIA ""ITZAMN�""","5TA CALLE 11-20, ZONA 1",58765309,HUGO WILFREDO VARGAS CHACON,A�DA CONSUELO CHAC�N MAR�N,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN D�A A LA SEMANA),ZACAPA
19-01-0211-46,19-019,ZACAPA,ZACAPA,"COLEGIO ""HIGA""",BOSQUES DE SAN JULIAN,49057528,HUGO WILFREDO VARGAS CHACON,EDILIO  PAZ ARCHILA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN D�A A LA SEMANA),ZACAPA
19-01-0213-46,19-019,ZACAPA,ZACAPA,INSTITUTO T�CNICO PRIVADO VOCACIONAL,9A. CALLE 17-27 ZONA 3 BARRIO EL TAMARINDAL,79416343,HUGO WILFREDO VARGAS CHACON,EDWIN ORLANDO LUCAS VANEGAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN D�A A LA SEMANA),ZACAPA
19-01-0215-46,19-019,ZACAPA,ZACAPA,LICEO CRISTO REY,"8A. CALLE 9-06 ZONA 2, BARRIO LA REFORMA",59363661,HUGO WILFREDO VARGAS CHACON,EDNA EDITH RAM�REZ CORD�N,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN D�A A LA SEMANA),ZACAPA
19-01-0304-46,19-019,ZACAPA,ZACAPA,INSTITUTO T�CNICO PRIVADO VOCACIONAL,9A. CALLE 17-27 ZONA 3 BARRIO EL TAMARINDAL,79416343,HUGO WILFREDO VARGAS CHACON,AURA INES LUCAS VANEGAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0332-46,19-019,ZACAPA,ZACAPA,INSTITUTO T�CNICO DE EDUCACI�N INDUSTRIAL,"CIUDAD VICTORIA, BARRIO NUEVO",79415915,HUGO WILFREDO VARGAS CHACON,CARMEN ELIZABETH GARC�A RAM�REZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA
19-01-0352-46,19-001,ZACAPA,ZACAPA,ESCUELA NORMAL DEL NORORIENTE PARA EL DESARROLLO AMBIENTAL,KILOMETRO 2.5 CARRETERA A ALDEA MANZANOTES,79414187,SONIA HAYDEE RUIZ WONG,ANA EDELMIRA CORD�N GARC�A,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-0645-46,19-019,ZACAPA,ZACAPA,INSTITUTO NORMAL  ZACAPANECO PEM. DAGOBERTO ENRIQUE G�MEZ HERN�NDEZ,5A. CALLE 17-52 ZONA 3,79411086,HUGO WILFREDO VARGAS CHACON,ANA LUISA G�MEZ ACEVEDO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0894-46,25-000,ZACAPA,ZACAPA,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER), , ,SONIA HAYDEE REYES MONTERROSO, ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,ZACAPA
19-01-0911-46,19-001,ZACAPA,ZACAPA,ESCUELA NORMAL DE EDUCACI�N F�SICA,COMPLEJO DEPORTIVO ZONA 4,59452938,SONIA HAYDEE RUIZ WONG,ROSA LILIAN ESPA�A ALARC�N,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA
19-01-0931-46,19-019,ZACAPA,ZACAPA,COLEGIO MODERNO ZACAPANECO,"9A. CALLE 15-26, ZONA 1",79413549,HUGO WILFREDO VARGAS CHACON,GLORIA ISABEL AGUIRRE MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-01-0942-46,19-019,ZACAPA,ZACAPA,"CENTRO DE EDUCACI�N A DISTANCIA  ""ITZAMN�""",5A. CALLE 11-20 ZONA 1,58765309,HUGO WILFREDO VARGAS CHACON,A�DA CONSUELO CHAC�N MAR�N,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA
19-01-0945-46,19-001,ZACAPA,ZACAPA,ESCUELA NORMAL INTERCULTURAL,"5TA. CALLE 11-20 ZONA 1, BARRIO LA SOLEDAD",79415182,SONIA HAYDEE RUIZ WONG,RUTH AVIGA�L ALVAREZ CORD�N,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA
19-01-1012-46,19-019,ZACAPA,ZACAPA,"CENTRO EDUCATIVO JUVENIL CAT�LICO  ""NUESTRA SE�ORA DE F�TIMA""",12 CALLE A 14-03 ZONA 1,79410382,HUGO WILFREDO VARGAS CHACON,FIDIAS ROBERTO MONROY LEMUS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-01-1081-46,19-019,ZACAPA,ZACAPA,INSTITUTO TECNOLOGICO DE NORORIENTE -ITECNOR-,ALDEA LA FRAGUA,78230482,HUGO WILFREDO VARGAS CHACON,ALAN BILLY LOYO DE PAZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA
19-01-1207-46,19-019,ZACAPA,ZACAPA,INSTITUTO DE TURISMO Y AVIACION DE ORIENTE,8A. CALLE 9-06 ZONA 2 BARRIO LA REFORMA, ,HUGO WILFREDO VARGAS CHACON,HECTOR EFRAIN DE LEON GARCIA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA
19-01-1208-46,19-019,ZACAPA,ZACAPA,INSTITUTO DE TURISMO Y AVIACION DE ORIENTE,8A. CALLE 9-06 ZONA 2 BARRIO LA REFORMA, ,HUGO WILFREDO VARGAS CHACON, ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-02-0001-46,19-005,ZACAPA,ESTANZUELA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,5TA. AVENIDA 04-00 ZONA 1 BARRIO ARRIBA,47629095,EDNA EDITH RAMIREZ CORDON,IVONNE HERENIA BORJA ROJAS DE COMAPA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-02-0019-46,19-005,ZACAPA,ESTANZUELA,INSTITUTO NACIONAL DE EDUCACI�N DIVERSIFICADA,BARRIO LA LAGUNA I,56433255,EDNA EDITH RAMIREZ CORDON,LESBIA ELIZABETH L�PEZ M�NDEZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ZACAPA
19-02-1188-46,19-005,ZACAPA,ESTANZUELA,INSTITUTO TECNOLOGICO POR COOPERATIVA DE ENSE�ANZA,"4TA. AVENIDA ZONA 4, BARRIO SAN CAYETANO",79336167,EDNA EDITH RAMIREZ CORDON,EDGAR EFRA�N FAJARDO DE LA ROSA,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA
19-03-0004-46,19-006,ZACAPA,RIO HONDO,INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSE�ANZA,BARRIO EL CENTRO,79330273,JORGE FRANCISCO ZABALETA MENDEZ,AURA ELIZABETH MORALES MART�NEZ,DIVERSIFICADO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-03-0005-46,19-006,ZACAPA,RIO HONDO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA EL ROSARIO,79436725,JORGE FRANCISCO ZABALETA MENDEZ,JUANA SUCELLY SALDIVAR PERAZA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-03-0015-46,19-007,ZACAPA,RIO HONDO,LIBERTY COLLEGE,ALDEA LLANO VERDE,55148021,JORGE FRANCISCO ZABALETA MENDEZ,MIRIAM CONSUELO CASTA�EDA ORELLANA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-04-0029-46,19-008,ZACAPA,GUALAN,"INSTITUTO NACIONAL DE EDUCACI�N DIVERSIFICADA, INED",BARRIO LAS FLORES,33969274,BRENDA YANETH RAMOS LOPEZ,ANDREA YULIANA VEL�SQUEZ ALDANA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-04-0052-46,19-008,ZACAPA,GUALAN,"COLEGIO PRIVADO MIXTO ""BETHANIA""",BARRIO LAS FLORES,79332709,BRENDA YANETH RAMOS LOPEZ,MELINA JUDITH MORALES L�PEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-04-0064-46,19-009,ZACAPA,GUALAN,COLEGIO MIXTO PRIVADO MONSE�OR AN�BAL CASASOLA,RESIDENCIALES MOLIENDA BARRIO LAS FLORES,42818761,JENNIFER MARIA BARRIENTOS CHACON,ANA LEONOR G�MEZ S�NCHEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-04-0065-46,19-009,ZACAPA,GUALAN,"COLEGIO PARTICULAR MIXTO LUTERANO INTEGRAL ""LA RESURRECCI�N""",BARRIO LAS FLORES,79331330,JENNIFER MARIA BARRIENTOS CHACON,LUIS ALBERTO JASINTO ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-04-0066-46,19-008,ZACAPA,GUALAN,"COLEGIO PRIVADO MIXTO ""BETHANIA""",BARRIO LAS FLORES,79332709,BRENDA YANETH RAMOS LOPEZ,DARLIN ZENAIDA LE�N RAM�REZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-04-0071-46,19-008,ZACAPA,GUALAN,LICEO SINA�,BARRIO LAS FLORES,79332187,BRENDA YANETH RAMOS LOPEZ,GENNY CAROLINA ORELLANA BOCANEGRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN D�A A LA SEMANA),ZACAPA
19-04-0358-46,19-008,ZACAPA,GUALAN,"""LICEO  SINAI""",BARRIO LAS FLORES,42198222,BRENDA YANETH RAMOS LOPEZ,GENNY CAROLINA ORELLANA BOCANEGRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-04-1001-46,19-008,ZACAPA,GUALAN,LICEO SINAI (POR MADUREZ),BARRIO LAS FLORES,79332781,BRENDA YANETH RAMOS LOPEZ,GENNY CAROLINA ORELLANA BOCANEGRA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA
19-04-1149-46,19-008,ZACAPA,GUALAN,INSTITUTO DIVERSIFICADO MUNICIPAL,BARRIO RIO HONDO,44809306,BRENDA YANETH RAMOS LOPEZ,ERIKA AZUCENA FRANCO ,DIVERSIFICADO,MUNICIPAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-04-1263-46,19-008,ZACAPA,GUALAN,LICEO  SINAI,BARRIO LAS FLORES,79332781,BRENDA YANETH RAMOS LOPEZ,GENNY CAROLINA ORELLANA BOCANEGRA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA
19-05-0016-46,19-010,ZACAPA,TECULUTAN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,1RA. AVE. ZONA 2,50338841,OSCAR OVIDIO FRANCO PAZ,AURA ALICIA GALLARDO P�REZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-05-0026-46,19-010,ZACAPA,TECULUTAN,COLEGIO MAYA TECULUTAN,ENTRADA PRINCIPAL A LA ALDEA LA PAZ, ,OSCAR OVIDIO FRANCO PAZ,JOSSELIN FABELLA SANDOVAL MATA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-05-0028-46,19-010,ZACAPA,TECULUTAN,GETHSEMANE COLLEGE,CAMINO QUE CONDUCE HACIA LA ALDEA LA PAZ,41503049,OSCAR OVIDIO FRANCO PAZ,ANA ELIZABETH CHACON ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA
19-05-0030-46,19-010,ZACAPA,TECULUTAN,INSTITUTO BASICO Y BACHILLERATO POR MADUREZ JUAN PAZ,ALDEA SAN JOSE,33242598,OSCAR OVIDIO FRANCO PAZ,JUAN DE JES�S AGUST�N PAZ,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DOMINICAL,ZACAPA
19-05-0038-46,19-010,ZACAPA,TECULUTAN,GETHSEMANE COLLEGE,CAMINO QUE CONDUCE HACIA LA ALDEA LA PAZ,41503049,OSCAR OVIDIO FRANCO PAZ,KATHY JOHANNA MORALES MANCILLA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA
19-05-0045-46,19-010,ZACAPA,TECULUTAN,LICEO SAN FRANCISCO DE ASIS,5TA. AVENIDA 2DA. CALLE ZONA 1 BARRIO EL TRIANGULO,51857005,OSCAR OVIDIO FRANCO PAZ,RAUL ALEXANDER RAMIREZ MIRANDA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA
19-05-0046-46,19-010,ZACAPA,TECULUTAN,COLEGIO DE COMPUTACI�N DR. H�CTOR NERI CASTA�EDA CALDER�N,"3A. CALLE 7-71 ZONA 1,  TECULUT�N TECULUTAN",53051479,OSCAR OVIDIO FRANCO PAZ,MARIO  CASTA�EDA CORD�N,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA
19-05-0047-46,19-010,ZACAPA,TECULUTAN,GETHSEMANE COLLEGE,CAMINO QUE CONDUCE HACIA LA ALDEA LA PAZ,41503049,OSCAR OVIDIO FRANCO PAZ,ANA ELIZABETH CHACON ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA
